Gloss                | Available Videos
----------------------------------------
before               | 16
thin                 | 16
cool                 | 16
drink                | 15
go                   | 15
computer             | 14
who                  | 14
cousin               | 14
help                 | 14
candy                | 13
thanksgiving         | 13
bed                  | 13
bowling              | 13
tall                 | 13
accident             | 13
short                | 13
trade                | 13
yes                  | 12
what                 | 12
later                | 12
man                  | 12
shirt                | 12
change               | 12
corn                 | 12
dark                 | 12
last                 | 12
pizza                | 12
basketball           | 12
call                 | 12
cold                 | 12
deaf                 | 11
no                   | 11
walk                 | 11
mother               | 11
woman                | 11
dog                  | 11
family               | 11
apple                | 11
play                 | 11
letter               | 11
thursday             | 11
bar                  | 11
brother              | 11
check                | 11
laugh                | 11
room                 | 11
take                 | 11
why                  | 11
example              | 11
far                  | 11
leave                | 11
soon                 | 11
champion             | 11
delay                | 11
environment          | 11
score                | 11
year                 | 10
black                | 10
hot                  | 10
like                 | 10
many                 | 10
orange               | 10
fish                 | 10
graduate             | 10
language             | 10
study                | 10
white                | 10
bird                 | 10
doctor               | 10
give                 | 10
secretary            | 10
work                 | 10
cheat                | 10
full                 | 10
son                  | 10
tell                 | 10
wait                 | 10
cry                  | 10
snow                 | 10
write                | 10
yesterday            | 10
bad                  | 10
blanket              | 10
daughter             | 10
good                 | 10
balance              | 10
because              | 10
convince             | 10
fat                  | 10
government           | 10
interest             | 10
order                | 10
sandwich             | 10
theory               | 10
argue                | 10
delicious            | 10
move                 | 10
perspective          | 10
silly                | 10
sweet                | 10
appointment          | 10
ready                | 10
speech               | 10
toast                | 10
fine                 | 9
finish               | 9
now                  | 9
can                  | 9
hat                  | 9
kiss                 | 9
cow                  | 9
meet                 | 9
pink                 | 9
school               | 9
want                 | 9
africa               | 9
city                 | 9
decide               | 9
how                  | 9
pull                 | 9
right                | 9
same                 | 9
visit                | 9
water                | 9
cat                  | 9
class                | 9
hair                 | 9
headache             | 9
inform               | 9
show                 | 9
week                 | 9
ball                 | 9
buy                  | 9
first                | 9
list                 | 9
lose                 | 9
problem              | 9
stay                 | 9
travel               | 9
banana               | 9
beard                | 9
careful              | 9
chat                 | 9
country              | 9
crash                | 9
day                  | 9
drop                 | 9
football             | 9
future               | 9
girl                 | 9
hear                 | 9
hope                 | 9
make                 | 9
new                  | 9
office               | 9
party                | 9
past                 | 9
practice             | 9
president            | 9
sign                 | 9
train                | 9
ugly                 | 9
animal               | 9
baby                 | 9
catch                | 9
fault                | 9
glasses              | 9
halloween            | 9
improve              | 9
near                 | 9
today                | 9
voice                | 9
vomit                | 9
wet                  | 9
alone                | 9
australia            | 9
balloon              | 9
child                | 9
decorate             | 9
dirty                | 9
dive                 | 9
dry                  | 9
fast                 | 9
follow               | 9
minute               | 9
necklace             | 9
point                | 9
tiger                | 9
town                 | 9
weekend              | 9
