video_id,gloss,split,url,bbox,fps,frame_start,frame_end,source
69241,book,train,http://aslbricks.org/New/ASL-Videos/book.mp4,"[385, 37, 885, 720]",25,1,-1,aslbrick
65225,book,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,"[190, 25, 489, 370]",25,1,-1,aslsignbank
68011,book,train,https://www.youtube.com/watch?v=0UsjUE-TXns,"[262, 1, 652, 480]",25,1,-1,valencia-asl
68208,book,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,"[123, 19, 516, 358]",25,1,60,lillybauer
68012,book,train,https://www.youtube.com/watch?v=aGtIHKEdCds,"[95, 0, 1180, 720]",25,1,-1,valencia-asl
70212,book,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,"[110, 25, 274, 240]",25,2150,2249,northtexas
70266,book,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,"[153, 38, 395, 360]",25,3732,3852,northtexas
07085,book,train,http://www.aslpro.com/main/b/book_english_grammar.swf,"[16, 2, 235, 240]",25,1,-1,aslpro
07086,book,train,http://www.aslpro.com/main/b/book_geography.swf,"[16, 4, 239, 240]",25,1,-1,aslpro
07087,book,train,http://www.aslpro.com/main/b/book_geometry.swf,"[8, 1, 253, 240]",25,1,-1,aslpro
07069,book,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,"[462, 44, 949, 720]",25,1,-1,signschool
07088,book,train,http://www.aslpro.com/main/b/book_history.swf,"[29, 4, 227, 240]",25,1,-1,aslpro
07089,book,train,http://www.aslpro.com/main/b/book_law.swf,"[22, 0, 226, 240]",25,1,-1,aslpro
07090,book,train,http://www.aslpro.com/main/b/book_literature.swf,"[34, 2, 229, 240]",25,1,-1,aslpro
07091,book,train,http://www.aslpro.com/main/b/book_math.swf,"[23, 1, 226, 240]",25,1,-1,aslpro
07092,book,test,http://www.aslpro.com/main/b/book_medicine.swf,"[31, 4, 220, 240]",25,1,-1,aslpro
07093,book,test,http://www.aslpro.com/main/b/book_music.swf,"[25, 0, 220, 240]",25,1,-1,aslpro
07068,book,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,"[234, 17, 524, 414]",25,1,-1,startasl
07094,book,val,http://www.aslpro.com/main/b/book_photography.swf,"[22, 2, 231, 240]",25,1,-1,aslpro
07095,book,test,http://www.aslpro.com/main/b/book_science.swf,"[3, 2, 260, 240]",25,1,-1,aslpro
07096,book,val,http://www.aslpro.com/main/b/book_spelling.swf,"[21, 2, 228, 240]",25,1,-1,aslpro
07097,book,train,http://www.aslpro.com/main/b/book.swf,"[26, 3, 226, 240]",25,1,-1,aslpro
07070,book,train,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,"[131, 26, 526, 480]",25,1,-1,asldeafined
07098,book,val,http://www.aslpro.com/main/b/book_trigonometry.swf,"[21, 3, 231, 240]",25,1,-1,aslpro
07099,book,val,http://www.aslsearch.com/signs/videos/book.mp4,"[162, 54, 528, 400]",25,1,-1,aslsearch
07071,book,train,https://www.handspeak.com/word/b/book2.mp4,"[70, 0, 268, 240]",25,1,-1,handspeak
07072,book,test,https://www.handspeak.com/word/b/book.mp4,"[75, 0, 270, 240]",25,1,-1,handspeak
07073,book,train,https://www.handspeak.com/word/b/books-pile.mp4,"[64, 0, 273, 240]",25,1,-1,handspeak
67424,book,train,https://youtu.be/3-GrhsVs830,"[128, 20, 383, 360]",25,1,-1,asllex
07074,book,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,"[82, 11, 212, 192]",25,1,-1,signingsavvy
07075,book,train,https://www.youtube.com/watch?v=Kwvw-K6GYW8,"[386, 48, 942, 720]",25,1,-1,aslu
07076,book,train,https://www.youtube.com/watch?v=XjWSfh50kAU,"[362, 43, 945, 720]",25,1,-1,aslu
07077,book,train,http://www.aslpro.com/main/b/book_accounting.swf,"[25, 4, 223, 240]",25,1,-1,aslpro
07078,book,train,http://www.aslpro.com/main/b/book_algebra.swf,"[28, 4, 226, 240]",25,1,-1,aslpro
07079,book,train,http://www.aslpro.com/main/b/book_anatomy.swf,"[15, 2, 238, 240]",25,1,-1,aslpro
07080,book,train,http://www.aslpro.com/main/b/book_art_history.swf,"[28, 2, 226, 240]",25,1,-1,aslpro
07081,book,train,http://www.aslpro.com/main/b/book_art.swf,"[23, 2, 226, 240]",25,1,-1,aslpro
07082,book,train,http://www.aslpro.com/main/b/book_business.swf,"[30, 3, 228, 240]",25,1,-1,aslpro
07083,book,val,http://www.aslpro.com/main/b/book_chemistry.swf,"[0, 3, 260, 240]",25,1,-1,aslpro
07084,book,train,http://www.aslpro.com/main/b/book_coloring.swf,"[29, 4, 225, 240]",25,1,-1,aslpro
69302,drink,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,"[551, 68, 1350, 1080]",25,1,-1,aslbrick
65539,drink,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,"[153, 11, 488, 370]",25,1,-1,aslsignbank
70173,drink,val,https://www.youtube.com/watch?v=F5Wef1_PtLk,"[142, 20, 501, 480]",25,5710,5831,northtexas
68538,drink,val,https://www.youtube.com/watch?v=HZMTQJdBZ9g,"[112, 13, 529, 356]",25,1,71,lillybauer
68042,drink,val,https://www.youtube.com/watch?v=KRc_WYI1DgA,"[110, 0, 1160, 720]",25,1,-1,valencia-asl
68660,drink,train,https://www.youtube.com/watch?v=Lk2Vws8homw,"[312, 19, 908, 720]",25,1,54,lillybauer
68041,drink,train,https://www.youtube.com/watch?v=Nc7rSopCpI8,"[116, 0, 1166, 720]",25,1,-1,valencia-asl
17725,drink,train,https://www.youtube.com/watch?v=537MWOtCl78,"[300, 63, 882, 720]",25,1,-1,aslu
17726,drink,train,https://www.youtube.com/watch?v=6gU3Ln98sWA,"[318, 29, 951, 720]",25,1,-1,aslu
17727,drink,train,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,"[232, 55, 838, 720]",25,1,-1,nabboud
17728,drink,train,https://www.youtube.com/watch?v=g3rl9_LYqzI,"[337, 0, 994, 720]",25,1,-1,aslu
17710,drink,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,"[196, 15, 521, 414]",25,1,-1,startasl
17729,drink,train,https://www.youtube.com/watch?v=i0opsQ2zB1Q,"[350, 0, 999, 720]",25,1,-1,aslu
17730,drink,test,https://www.youtube.com/watch?v=k6cNmM9WgUs,"[334, 0, 997, 720]",25,1,-1,aslu
17731,drink,train,https://www.youtube.com/watch?v=LqJM7wcUixQ,"[348, 43, 933, 720]",25,1,-1,aslu
17732,drink,train,http://www.aslpro.com/main/d/drink.swf,"[0, 4, 206, 240]",25,1,-1,aslpro
17733,drink,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,"[186, 63, 551, 400]",25,1,-1,aslsearch
65540,drink,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,"[167, 19, 480, 370]",25,1,-1,aslsignbank
17734,drink,val,http://www.aslsearch.com/signs/videos/drink.mp4,"[183, 55, 552, 400]",25,1,-1,aslsearch
17711,drink,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,"[289, 9, 783, 480]",25,1,-1,signschool
17712,drink,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,"[673, 90, 1571, 1072]",25,1,-1,signschool
17713,drink,test,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,"[28, 0, 542, 480]",25,1,-1,asldeafined
